Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,0.0076787,-0.011011,0.085664,0,0,0,7.3133,0.090924,5.2702E-05,0.00041267,0.051858,-5.9055E-05,0.108,0,0,0,0,0,0,package://robot(ur3)/meshes/base.STL,1,1,1,1,0,0,0,0,0,0,package://robot(ur3)/meshes/base.STL,,机器人底盘-1,base坐标系,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1,0.00055928,3.2087E-06,0.11574,0,0,0,9.3718,0.16877,-5.2487E-06,5.9616E-05,0.16695,-1.8153E-06,0.23019,0,0,0,0,0,0,package://robot(ur3)/meshes/L1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://robot(ur3)/meshes/L1.STL,,云迹连接板-1;60-T400-L5-AC-DDB-G750.STEP-1;伸缩钣金-1;外壳1-1,j1坐标系,j1基准轴,J1,fixed,0,0,0.279,0,0,0,base,0,0,0,,,,,,,,,,,,
L2,0.003191,-6.5118E-05,0.023055,0,0,0,6.8503,0.11556,2.313E-07,0.0055981,0.08398,-5.7263E-06,0.074677,0,0,0,0,0,0,package://robot(ur3)/meshes/L2.STL,1,1,1,1,0,0,0,0,0,0,package://robot(ur3)/meshes/L2.STL,,伸缩钣金1-1;电缸连接板-1;钣金-1;机械臂连接板-2;加强板-1;加强板-2;AGX安装板-1;零件3-1;零件4-1;机械臂连接板-1;RM65-B-1/RM65-B.STEP-1/____1.STEP-1;RM65-B 12-1/RM65-B12.STEP-1/____1.STEP-1;加强板1-1;头部结构件-1/舵机钣金1-1;头部结构件-1/舵机-1;头部结构件-1/舵机钣金5-1;装配体13-1;硅胶-1,j2坐标系,j2基准轴,J2,prismatic,-0.0123,0,0.654,0,0,0,L1,0,0,1,100,1,0,0.4,,,,,,,,
L3,0.033607,3.7414E-06,0.010337,0,0,0,0.047669,1.9347E-05,3.1116E-09,-3.3337E-07,1.6824E-05,2.9383E-09,1.6375E-05,0,0,0,0,0,0,package://robot(ur3)/meshes/L3.STL,1,1,1,1,0,0,0,0,0,0,package://robot(ur3)/meshes/L3.STL,,头部结构件-1/舵机钣金2-1;头部结构件-1/舵机-2,j3坐标系,j3基准轴,J3,revolute,0.0015,0,0.219,0,0,0,L2,0,0,1,100,1,-3.14,3.14,,,,,,,,
L4,-0.043685,0.074923,0.026042,0,0,0,1.2434,0.0078324,0.0013473,5.2785E-07,0.0069379,9.3305E-08,0.0075209,0,0,0,0,0,0,package://robot(ur3)/meshes/L4.STL,1,1,1,1,0,0,0,0,0,0,package://robot(ur3)/meshes/L4.STL,,头部结构件-1/舵机钣金7-1;头部结构件-1/装配体12-1/头部组件-1-1;头部结构件-1/装配体12-1/头2-1;头部结构件-1/装配体12-1/头1-1,j4坐标系,j4基准轴,J4,revolute,0.049992,0.026016,0.0165,1.5708,0,0.0003214,L3,0,0,-1,100,1,-3.14,3.14,,,,,,,,
L5,-1.96E-07,0.021108,0.076814,0,0,0,0.59354,0.0012661,-4.9894E-09,-6.131E-09,0.0011817,-0.0002112,0.00056132,0,0,0,0,0,0,package://robot(ur3)/meshes/L5.STL,1,1,1,1,0,0,0,0,0,0,package://robot(ur3)/meshes/L5.STL,,RM65-B-1/RM65-B.STEP-1/____2.STEP-1,j5坐标系,j5基准轴,J5,revolute,0,-0.2285,0.085,1.5708,0,0,L2,0,0,1,100,1,-3.14,3.14,,,,,,,,
L6,-3.8993E-07,-0.15226,0.022664,0,0,0,0.86418,0.0020527,-1.4855E-08,5.2545E-09,0.00063254,0.00042163,0.0019528,0,0,0,0,0,0,package://robot(ur3)/meshes/L6.STL,1,1,1,1,0,0,0,0,0,0,package://robot(ur3)/meshes/L6.STL,,RM65-B-1/RM65-B.STEP-1/____3.STEP-1;RM65-B-1/RM65-B.STEP-1/____4.STEP-1,j6坐标系,j6基准轴,J6,revolute,0,-0.016461,0.102,-1.5708,0,0,L5,0,0,-1,100,1,-3.14,3.14,,,,,,,,
L7,-4.474E-06,-0.059593,0.0023668,0,0,0,0.28965,0.00063737,5.7347E-08,-3.2973E-08,0.00015649,0.00014461,0.00061418,0,0,0,0,0,0,package://robot(ur3)/meshes/L7.STL,1,1,1,1,0,0,0,0,0,0,package://robot(ur3)/meshes/L7.STL,,RM65-B-1/RM65-B.STEP-1/____5.STEP-1,j7坐标系,j7基准轴,J7,revolute,0,-0.256,0.0035251,0,0,0,L6,0,0,-1,100,1,-3.14,3.14,,,,,,,,
L8,-2.0565E-07,0.018044,0.059962,0,0,0,0.23943,0.00028595,-2.1151E-09,-1.3656E-09,0.00026274,-4.4241E-05,0.0001199,0,0,0,0,0,0,package://robot(ur3)/meshes/L8.STL,1,1,1,1,0,0,0,0,0,0,package://robot(ur3)/meshes/L8.STL,,RM65-B-1/RM65-B.STEP-1/____6.STEP-1,j8坐标系,j8基准轴,J8,revolute,0,-0.1285,0.012936,1.5708,0,0,L7,0,0,1,100,1,-3.14,3.14,,,,,,,,
L9,-3.1217E-06,-0.059381,0.0047682,0,0,0,0.2188,0.00035054,3.1002E-08,-1.705E-08,0.00010493,7.8241E-05,0.00033448,0,0,0,0,0,0,package://robot(ur3)/meshes/L9.STL,1,1,1,1,0,0,0,0,0,0,package://robot(ur3)/meshes/L9.STL,,RM65-B-1/RM65-B.STEP-1/____7.STEP-1,j9坐标系,j9基准轴,J9,revolute,0,-0.012136,0.0815,-1.5708,0,0,L8,0,0,-1,100,1,-3.14,3.14,,,,,,,,
L10,-0.027232,4.7565E-06,0.026312,0,0,0,0.23393,0.00014012,-5.6269E-08,1.6636E-05,0.00027108,-1.8671E-08,0.00035751,0,0,0,0,0,0,package://robot(ur3)/meshes/L10.STL,1,1,1,1,0,0,0,0,0,0,package://robot(ur3)/meshes/L10.STL,,RM65-B-1/RM65-B.STEP-1/D435^RM65-B-D435 视觉版机械臂- 左-1;RM65-B-1/末端转接法兰——灵巧手-1,j10坐标系,j10基准轴,J10,revolute,0,-0.115,0.012136,1.5708,0,0,L9,0,0,-1,100,1,-3.14,3.14,,,,,,,,
L11,1.9617E-07,0.021108,-0.076814,0,0,0,0.59354,0.0012661,4.9914E-09,-6.1326E-09,0.0011817,0.0002112,0.00056132,0,0,0,0,0,0,package://robot(ur3)/meshes/L11.STL,1,1,1,1,0,0,0,0,0,0,package://robot(ur3)/meshes/L11.STL,,RM65-B 12-1/RM65-B12.STEP-1/____2.STEP-1,j11坐标系,j11基准轴,J11,revolute,0,0.2285,0.085,1.5708,0,0,L2,0,0,-1,100,1,-3.14,3.14,,,,,,,,
